Collection_no.	Genus	(Infra)Species	Databaseno.(name_on_the_tube)	L0725	F4121	fVGF	rVVG
Hsu11200	Dicranopteris	latiloba	Co627	br16	br03		
Hsu12323	Dryopteris	changii	Co628	br17	br03	br07	br01
Hsu13239	Scleroglossum	sp.	Co629	br18	br03	br07	br02
Hsu13240	Dicranopteris	latiloba	Co630	br11	br02	br07	br03
Hsu13260	Plagiogyria	sp.	Co631	br13	br01		
ZXC002303	Tomophyllum	sp.	Co632	br12	br02	br07	br04
Lu29608	Diplazium	hachijoense	Co633			br07	br05
Hsu12838	Dryopteris	changii	Co634	br14	br02	br07	br06
Hsu11929	Polystichum	erosum	Co635	br11	br01	br07	br08
Hsu13219	Cheilanthes	viridis	Co636	br12	br01		
Lu26302	Hymenasplenium	subnormale	Co638			br08	br02
Lu29600	Dryopteris	kwanzanensis	Co639	br04	br08	br08	br03
Lu30010	Dryopteris	indusiata	Co640	br05	br08	br08	br04
FWL864	Christella	arida	Co641	br07	br08	br08	br05
Hsu2675	Polystichum	tenuius	Co642	br03	br09	br08	br06
Lu21722	Ampelopteris	prolifera	Co643	br06	br09		
Lu22116	Christella	jaculosa	Co644	br07	br09	br08	br08
Kuo4186	Arachniodes	nigrospinosa	Co645	br02	br10	br08	br09
Lu29550	Pyrrosia	assimilis	Co648	br02	br11	br09	br03
Kuo4556	Tectaria	harlandii	Co650	br17	br02	br09	br04
Kuo3882	Athyrium	vidalii	KTHU753				
ZXC001589	Dryopteris	cycadina	KTHU006	br10	br04		
ZXC001560	Athyrium	erythropodum	KTHU009	br11	br14		
ZXC001583	Arachniodes	globisora	KTHU024	br12	br14		
Lu32031	Pronephrium	simplex	KTHU059	br17	br10		
Kuo4545	Nephrolepis	aff.copelandii	KTHU269	br19	br13	br09	br06
Kuo2441	Drynaria	coronans	KTHU549			br03	br11
Kuo4211	Asplenium	prolongatum	KTHU646				
Kuo4213	Microsorum	sp.	KTHU648	br20	br13	br09	br07
Kuo4221	Crepidomanes	latemarginale	KTHU656	br10	br14		
Kuo3791	Polystichum	piceopaleaceum	KTHU673			br03	br13
Kuo3795	Dryopteris	redactopinnata	KTHU675			br03	br14
Kuo3799	Athyrium	fluviale	KTHU679			br04	br02
Kuo3802	Pteris	cretica	KTHU680				
Kuo3806	Arachniodes	amabilis	KTHU682			br04	br11
Kuo3807	Asplenium	tripteropus	KTHU683			br04	br16
Kuo3809	Pyrrosia	matsudae	KTHU684			br04	br17
Kuo3810	Asplenium	yoshinagae	KTHU685			br06	br02
Kuo3812	Pyrrosia	sheareri	KTHU687			br06	br08
Kuo3820	Pyrrosia	porosa	KTHU694			br06	br09
Kuo3822	Athyrium	strigillosum	KTHU696	br03	br03	br03	br16
Kuo3825	Onychium	lucidum	KTHU699			br06	br11
Kuo3828	Pteris	scabristipes	KTHU701			br06	br12
Kuo3829	Asplenium	tenuicaule	KTHU702			br06	br17
Kuo3831	Asplenium	ensiforme	KTHU704			br08	br01
Kuo3832	Goniophlebium	fieldingianum	KTHU705	br05	br16	br11	br14
Kuo3834	Neolepisorus	sp.	KTHU706	br04	br04	br04	br15
Kuo3835	Polystichum	deltodon	KTHU707			br09	br01
Kuo3836	Loxogramme	remotefrondigera	KTHU708	br05	br05		
Kuo3837	Athyrium	leiopodum	KTHU709	br06	br06	br06	br13
Kuo3838	Athyrium	mupinense	KTHU710	br02	br01		
Kuo3839	Metathelypteris	gracilescens	KTHU711			br09	br02
Kuo3842	Woodsia	sp.	KTHU714			br12	br01
Kuo3843	Anogramma	leptophylla	KTHU715			br12	br16
Kuo3845	Polystichum	thomsonii	KTHU717			br07	br09
Kuo3847	Athyrium	delavayi	KTHU720			br08	br07
Kuo3851	Cystopteris	moupinensis	KTHU725				
Kuo3853	Athyrium	anisopterum	KTHU727			br13	br03
Kuo3855	Dennstaedtia	hirsuta	KTHU729	br03	br01		
Kuo3856	Selliguea	hastata	KTHU730			br14	br13
Kuo3858	Athyrium	tozanense	KTHU732	br08	br01		
Kuo3860	Polystichum	pseudostenophyllum	KTHU733			br15	br12
Kuo3861	Dryopteris	cacaina	KTHU734			br15	br15
Kuo3862	Polystichum	stenophyllum	KTHU735			br17	br04
Kuo3864	Athyrium	otophorum	KTHU736			br18	br02
Kuo3865	Elaphoglossum	angulatum	KTHU737				
Kuo3866	Acystopteris	taiwaniana	KTHU738				
Kuo3869	Deparia	jiulungensis	KTHU741			br01	br18
Kuo3871	Amauropelta	beddomei	KTHU743			br05	br14
Kuo3881	Selliguea	quasidivaricata	KTHU752				
Kuo3882	Athyrium	vidalii	KTHU753			br12	br07
Wade1250	Sphaerostephanos	productus	KTHU761	br09	br01	br08	br11
Wade1251	Lindsaea	cultrata	KTHU762	br05	br01		
Wade1252	Tapeinidium	biserratum	KTHU763	br09	br09	br09	br10
Wade1256	Selaginella	boninensis	KTHU767				
Wade1269	Crepidomanes	bipunctatum	KTHU780	br02	br04		
Wade1270	Crepidomanes	thysanostomum	KTHU781	br03	br04		
Kuo1310	Goniophlebium	lachnopum	Kuo1310	br01	br20	br13	br17
Kuo1367	Goniophlebium	amoenum	Kuo1367	br02	br20		
Kuo1368	Goniophlebium	aff.niponicum	Kuo1368	br03	br20		
Kuo1447	Goniophlebium	argutum	Kuo1447	br04	br20		
Kuo1499	Goniophlebium	hendersonii	Kuo1499	br05	br20		
Kuo1557	Goniophlebium	hendersonii	Kuo1557	br06	br20	br13	br18
Kuo2221	Goniophlebium	dielseanum	Kuo2221	br07	br20		
Kuo2874	Goniophlebium	amoenum	Kuo2874	br01	br19		
Kuo4258	Goniophlebium	transpianense	Kuo4258	br02	br19		
Kuo4259	Goniophlebium	raishaense	Kuo4259	br03	br19	br12	br10
Kuo4278	Goniophlebium	raishaense	Kuo4278	br04	br19		
Kuo545	Goniophlebium	coadunatum	Kuo545	br05	br19		
Kuo725	Goniophlebium	amoenum	Kuo725	br06	br19		
Lu15732	Goniophlebium	amoenum	Lu15732	br07	br19	br12	br11
Lu19439	Goniophlebium	formosanum	Lu19439	br20	br02		
Lu19734	Goniophlebium	raishaense	Lu19734	br02	br18		
Lu21523	Goniophlebium	raishaense	Lu21523	br03	br18		
Lu24746	Goniophlebium	amoenum	Lu24746	br04	br18		
Lu26471	Goniophlebium	formosanum	Lu26471	br03	br17	br12	br14
Wade1995	Goniophlebium	subauriculatum	Wade1995	br05	br18		
Wade2379	Goniophlebium	amoenum	Wade2379	br06	br18	br12	br12
Wade2500	Goniophlebium	bourretii	Wade2500	br07	br18		
Wade2651	Goniophlebium	amoenum	Wade2651	br01	br17		
Wade3523	Goniophlebium	serratifolium	Wade3523	br02	br17	br12	br13
